|| colName || colName || colName || colName || colName || colName || colName || colName || colName || colName || colName || colName || colName || colName || 
TraceResultData [operation=Operation 0, main_table=Main Table 0, query_option=With (Option) 0, total_run_time=Total Run Time (Ms) 0, joining_tables=Joining Tables 0, query_parameters=Query Parameters 0, round_trip_time=Round Trip Time(Ms) 0, session_id=Session Id 0, transaction_id=Transaction Id 0, is_new_transaction=New Transaction? 0, event_number_in_transaction=Event# in Tran 0, event_sequence_number=Event Sequence 0, duration=Duration 0, raw_sql=Raw Sql text 0]
TraceResultData [operation=Operation 1, main_table=Main Table 1, query_option=With (Option) 1, total_run_time=Total Run Time (Ms) 1, joining_tables=Joining Tables 1, query_parameters=Query Parameters 1, round_trip_time=Round Trip Time(Ms) 1, session_id=Session Id 1, transaction_id=Transaction Id 1, is_new_transaction=New Transaction? 1, event_number_in_transaction=Event# in Tran 1, event_sequence_number=Event Sequence 1, duration=Duration 1, raw_sql=Raw Sql text 1]
TraceResultData [operation=Operation 2, main_table=Main Table 2, query_option=With (Option) 2, total_run_time=Total Run Time (Ms) 2, joining_tables=Joining Tables 2, query_parameters=Query Parameters 2, round_trip_time=Round Trip Time(Ms) 2, session_id=Session Id 2, transaction_id=Transaction Id 2, is_new_transaction=New Transaction? 2, event_number_in_transaction=Event# in Tran 2, event_sequence_number=Event Sequence 2, duration=Duration 2, raw_sql=Raw Sql text 2]
TraceResultData [operation=Operation 3, main_table=Main Table 3, query_option=With (Option) 3, total_run_time=Total Run Time (Ms) 3, joining_tables=Joining Tables 3, query_parameters=Query Parameters 3, round_trip_time=Round Trip Time(Ms) 3, session_id=Session Id 3, transaction_id=Transaction Id 3, is_new_transaction=New Transaction? 3, event_number_in_transaction=Event# in Tran 3, event_sequence_number=Event Sequence 3, duration=Duration 3, raw_sql=Raw Sql text 3]
TraceResultData [operation=Operation 4, main_table=Main Table 4, query_option=With (Option) 4, total_run_time=Total Run Time (Ms) 4, joining_tables=Joining Tables 4, query_parameters=Query Parameters 4, round_trip_time=Round Trip Time(Ms) 4, session_id=Session Id 4, transaction_id=Transaction Id 4, is_new_transaction=New Transaction? 4, event_number_in_transaction=Event# in Tran 4, event_sequence_number=Event Sequence 4, duration=Duration 4, raw_sql=Raw Sql text 4]
TraceResultData [operation=Operation 5, main_table=Main Table 5, query_option=With (Option) 5, total_run_time=Total Run Time (Ms) 5, joining_tables=Joining Tables 5, query_parameters=Query Parameters 5, round_trip_time=Round Trip Time(Ms) 5, session_id=Session Id 5, transaction_id=Transaction Id 0, is_new_transaction=New Transaction? 5, event_number_in_transaction=Event# in Tran 5, event_sequence_number=Event Sequence 5, duration=Duration 5, raw_sql=Raw Sql text 5]
TraceResultData [operation=Operation 6, main_table=Main Table 6, query_option=With (Option) 6, total_run_time=Total Run Time (Ms) 6, joining_tables=Joining Tables 6, query_parameters=Query Parameters 6, round_trip_time=Round Trip Time(Ms) 6, session_id=Session Id 6, transaction_id=Transaction Id 1, is_new_transaction=New Transaction? 6, event_number_in_transaction=Event# in Tran 6, event_sequence_number=Event Sequence 6, duration=Duration 6, raw_sql=Raw Sql text 6]
TraceResultData [operation=Operation 7, main_table=Main Table 7, query_option=With (Option) 7, total_run_time=Total Run Time (Ms) 7, joining_tables=Joining Tables 7, query_parameters=Query Parameters 7, round_trip_time=Round Trip Time(Ms) 7, session_id=Session Id 7, transaction_id=Transaction Id 2, is_new_transaction=New Transaction? 7, event_number_in_transaction=Event# in Tran 7, event_sequence_number=Event Sequence 7, duration=Duration 7, raw_sql=Raw Sql text 7]
TraceResultData [operation=Operation 8, main_table=Main Table 8, query_option=With (Option) 8, total_run_time=Total Run Time (Ms) 8, joining_tables=Joining Tables 8, query_parameters=Query Parameters 8, round_trip_time=Round Trip Time(Ms) 8, session_id=Session Id 8, transaction_id=Transaction Id 3, is_new_transaction=New Transaction? 8, event_number_in_transaction=Event# in Tran 8, event_sequence_number=Event Sequence 8, duration=Duration 8, raw_sql=Raw Sql text 8]
TraceResultData [operation=Operation 9, main_table=Main Table 9, query_option=With (Option) 9, total_run_time=Total Run Time (Ms) 9, joining_tables=Joining Tables 9, query_parameters=Query Parameters 9, round_trip_time=Round Trip Time(Ms) 9, session_id=Session Id 9, transaction_id=Transaction Id 4, is_new_transaction=New Transaction? 9, event_number_in_transaction=Event# in Tran 9, event_sequence_number=Event Sequence 9, duration=Duration 9, raw_sql=Raw Sql text 9]
TraceResultData [operation=Operation 10, main_table=Main Table 10, query_option=With (Option) 10, total_run_time=Total Run Time (Ms) 10, joining_tables=Joining Tables 10, query_parameters=Query Parameters 10, round_trip_time=Round Trip Time(Ms) 10, session_id=Session Id 10, transaction_id=Transaction Id 0, is_new_transaction=New Transaction? 10, event_number_in_transaction=Event# in Tran 10, event_sequence_number=Event Sequence 10, duration=Duration 10, raw_sql=Raw Sql text 10]
